step	figure	script	cohort	analysis_stage	inputs	outputs	manuscript_role	status	notes
16	Figure 3	03_compute_patient_timepoint_centroids.py	GSE235063	Sample-centroid calculation	Figure_3/derived/gse235063_longitudinal_malignant_projected.h5ad; Figure_3/derived/figure3_main_analysis_patients.txt	Figure_3/derived/patient_timepoint_centroids_all.csv; Figure_3/derived/patient_timepoint_centroids_main.csv	Core Figure 3 derived data	final	All centroids: 26 DX, 2 EOI/REM, 24 REL. Main-analysis centroids: 21 DX, 1 EOI/REM, 21 REL.
17	Figure 3	04_compute_patient_interval_metrics.py	GSE235063	Longitudinal interval metrics	Figure_3/derived/patient_timepoint_centroids_all.csv; Figure_3/derived/patient_timepoint_centroids_main.csv	Figure_3/derived/patient_interval_metrics_all.csv; Figure_3/derived/patient_interval_metrics_main.csv	Primary quantitative backbone for Figure 3	final	21 main DX→REL intervals; one DX→EOI/REM and one EOI/REM→REL interval from AML21; displacement range 0.132–0.914, median 0.431.
18	Figure 3A	05_plot_figure3A_patient_trajectories.py	GSE235063	Patient trajectory plotting	Figure_3/derived/patient_timepoint_centroids_all.csv; Figure_3/derived/patient_timepoint_centroids_main.csv; Figure_3/derived/figure3_main_analysis_patients.txt	Figure_3/panels/Figure3A_patient_trajectories.png; Figure_3/panels/Figure3A_patient_trajectories.pdf	Figure 3A	final	
19	Figure 3B	06_plot_figure3B_group_average_trajectories.py	GSE235063	Group-level trajectory plotting	Figure_3/derived/patient_timepoint_centroids_main.csv	Figure_3/panels/Figure3B_group_average_trajectories.png; Figure_3/panels/Figure3B_group_average_trajectories.pdf	Figure 3B	final	
20	Figure 3C	07_plot_figure3C_displacement_distributions.py	GSE235063	DX→REL displacement comparison	Figure_3/derived/patient_interval_metrics_main.csv	Figure_3/panels/Figure3C_displacement_distributions.png; Figure_3/panels/Figure3C_displacement_distributions.pdf; Figure_3/derived/figure3C_dx_rel_stats.tsv	Figure 3C	final	Branch-continuous n=9; branch-switching n=12; two-sided Mann–Whitney U test; empirical q90 tail threshold.
21	Figure 3D	08_compute_jump_candidates.py	GSE235063	Jump-candidate calculation	Figure_3/derived/patient_interval_metrics_main.csv	Figure_3/derived/relapse_jump_candidates.csv	Input for Figure 3D and Figure 4D	final	
22	Figure 3D	09_plot_figure3D_jump_candidates.py	GSE235063	Relapse-escape score plotting	Figure_3/derived/relapse_jump_candidates.csv	Figure_3/panels/Figure3D_jump_candidates.png; Figure_3/panels/Figure3D_jump_candidates.pdf	Figure 3D	final	
23	Figure 3E	09b_plot_figure3E_integrated_interpretation.py	Conceptual	Integrated interpretation schematic		Figure_3/panels/figure3E_integrated_interpretation.png; Figure_3/panels/figure3E_integrated_interpretation.pdf; Figure_3/panels/figure3E_integrated_interpretation.jpeg	Figure 3E	final	
24	Figure 3	10_assemble_figure3_composite.py	GSE235063	Composite assembly	Figure_3/panels/Figure3A_patient_trajectories.png; Figure_3/panels/Figure3B_group_average_trajectories.png; Figure_3/panels/Figure3C_displacement_distributions.png; Figure_3/panels/Figure3D_jump_candidates.png; Figure_3/panels/figure3E_integrated_interpretation.png	Figure_3/final/Figure3_therapy_induces_contraction_persistence_escape_full.png; Figure_3/final/Figure3_therapy_induces_contraction_persistence_escape_full.pdf	Final Figure 3	final	
25	Figure 4	11_compute_sample_dynamic_parameters.py	GSE235063	Dynamic-summary calculation	Figure_3/derived/gse235063_longitudinal_malignant_projected.h5ad; Figure_3/derived/figure3_main_analysis_patients.txt	Figure_4/derived/sample_dynamic_parameters.csv; Figure_4/derived/dx_attractor_scaffold.tsv	Core Figure 4 derived data	final	EOI/REM group is sparse. AML21_REM shows slightly lower theta_eff than DX, very high sigma_eff, and modest mu_shift_from_dx; AML1_REM remains exploratory.
26	Figure 4A	12_plot_figure4A_theta_by_phase.py	GSE235063	Effective restoring-strength comparison	Figure_4/derived/sample_dynamic_parameters.csv	Figure_4/panels/Figure4A_theta_by_phase.png; Figure_4/panels/Figure4A_theta_by_phase.pdf; Figure_4/derived/figure4A_theta_stats.tsv	Figure 4A	final	DX n=21; REL n=21; EOI/REM n=2 shown individually; two-sided Mann–Whitney U test.
27	Figure 4B	13_plot_figure4B_mu_shift.py	GSE235063	Attractor-displacement comparison	Figure_4/derived/sample_dynamic_parameters.csv	Figure_4/panels/Figure4B_mu_shift_from_dx.png; Figure_4/panels/Figure4B_mu_shift_from_dx.pdf; Figure_4/derived/figure4B_mu_shift_stats.tsv	Figure 4B	final	Paired DX→REL Wilcoxon trend p≈0.096; EOI/REM samples displayed individually.
28	Figure 4C/D	14_plot_figure4C_sigma_and_lambda.py	GSE235063	Combined instability and jump-propensity plotting	Figure_4/derived/sample_dynamic_parameters.csv; Figure_3/derived/relapse_jump_candidates.csv	Figure_4/panels/Figure4C_sigma_and_lambda_proxy.png; Figure_4/panels/Figure4C_sigma_and_lambda_proxy.pdf; Figure_4/derived/figure4C_sigma_lambda_stats.tsv	Earlier combined Figure 4 implementation	superseded	sigma_eff phase comparison p=0.268; jump propensity branch comparison p=0.005. Replaced in the final manuscript by separate panels C and D.
29	Figure 4C	14a_Figure4C_sigma_eff_by_phase.py	GSE235063	Effective-instability comparison	Figure_4/derived/sample_dynamic_parameters.csv	Figure_4/panels/Figure4C_sigma_eff_by_phase.png; Figure_4/panels/Figure4C_sigma_eff_by_phase.pdf; Figure_4/derived/figure4C_sigma_eff_stats.tsv	Figure 4C	final	DX n=21; REL n=21; EOI/REM n=2 shown individually; two-sided Mann–Whitney U test.
30	Figure 4D	14b_Figure4D_jump_score_by_branch_transition.py	GSE235063	Jump-sensitive score comparison	Figure_3/derived/relapse_jump_candidates.csv	Figure_4/panels/Figure4D_jump_score_by_branch_transition.png; Figure_4/panels/Figure4D_jump_score_by_branch_transition.pdf; Figure_4/derived/figure4D_jump_score_stats.tsv	Figure 4D	final	Branch-continuous n=9; branch-switching n=12; two-sided Mann–Whitney U test.
31	Figure 4E	15_plot_figure4D_regime_schematic.py	Conceptual	Dynamic-regime schematic		Figure_4/panels/Figure4D_regime_schematic.png; Figure_4/panels/Figure4D_regime_schematic.pdf	Figure 4E in the final manuscript	final	Filename retains the earlier panel-D label; recommended repository rename: 15_plot_figure4E_regime_schematic.py and Figure4E_regime_schematic.*
32	Figure 4	16_assemble_figure4_composite.py	GSE235063	Earlier four-panel composite assembly	Figure_4/panels/Figure4A_theta_by_phase.png; Figure_4/panels/Figure4B_mu_shift_from_dx.png; Figure_4/panels/Figure4C_sigma_and_lambda_proxy.png; Figure_4/panels/Figure4D_regime_schematic.png	Figure_4/final/Figure4_treatment_aware_dynamic_parameters.png; Figure_4/final/Figure4_treatment_aware_dynamic_parameters.pdf	Earlier Figure 4 composite	superseded	
33	Figure 4	16a_assemble_figure4_composite_full.py	GSE235063	Final five-panel composite assembly	Figure_4/panels/Figure4A_theta_by_phase.png; Figure_4/panels/Figure4B_mu_shift_from_dx.png; Figure_4/panels/Figure4C_sigma_eff_by_phase.png; Figure_4/panels/Figure4D_jump_score_by_branch_transition.png; Figure_4/panels/Figure4D_regime_schematic.png	Figure_4/final/Figure4_treatment_aware_dynamic_parameters_full.png; Figure_4/final/Figure4_treatment_aware_dynamic_parameters_full.pdf	Final Figure 4	final	
34	Figure 5	17_compute_branch_transition_tables.py	GSE235063	Branch-level summary construction	Figure_3/derived/patient_interval_metrics_main.csv; Figure_3/derived/relapse_jump_candidates.csv; Figure_4/derived/sample_dynamic_parameters.csv	Figure_5/derived/branch_transition_table.csv; Figure_5/derived/branch_ecology_summary.csv; Figure_5/derived/branch_scaffold_program_summary.csv; Figure_5/derived/branch_escape_risk_summary.csv; Figure_5/derived/figure5_stats_summary.tsv	Core Figure 5 derived data	final	Stable paths include Progenitor→Progenitor and Mono/DC→Mono/DC; switching paths include HSC→Progenitor, GMP→HSC, Mono/DC→HSC, and Mono/DC→Progenitor.
35	Figure 5A	18_plot_figure5A_branch_transition_alluvial.py	GSE235063	Branch-transition alluvial plot	Figure_5/derived/branch_transition_table.csv	Figure_5/panels/Figure5A_branch_transition_alluvial.png; Figure_5/panels/Figure5A_branch_transition_alluvial.pdf	Figure 5A	final	
36	Figure 5B	19_plot_figure5B_branch_ecology_context.py	GSE235063	Branch ecology plot	Figure_5/derived/branch_ecology_summary.csv	Figure_5/panels/Figure5B_branch_ecology_context.png; Figure_5/panels/Figure5B_branch_ecology_context.pdf; Figure_5/derived/figure5B_ecology_stats.tsv	Figure 5B	final	
37	Figure 5C	20_plot_figure5C_branch_scaffold_programs.py	GSE235063	Branch program heatmap	Figure_5/derived/branch_scaffold_program_summary.csv	Figure_5/panels/Figure5C_branch_scaffold_programs.png; Figure_5/panels/Figure5C_branch_scaffold_programs.pdf; Figure_5/derived/figure5C_program_stats.tsv	Figure 5C	final	
38	Figure 5D	21_plot_figure5D_branch_escape_risk.py	GSE235063	Branch escape-propensity plot	Figure_5/derived/branch_escape_risk_summary.csv; Figure_5/derived/branch_transition_table.csv	Figure_5/panels/Figure5D_branch_escape_risk.png; Figure_5/panels/Figure5D_branch_escape_risk.pdf; Figure_5/derived/figure5D_escape_risk_stats.tsv	Figure 5D	final	
39	Figure 5	22_assemble_figure5_composite.py	GSE235063	Composite assembly	Figure_5/panels/Figure5A_branch_transition_alluvial.png; Figure_5/panels/Figure5B_branch_ecology_context.png; Figure_5/panels/Figure5C_branch_scaffold_programs.png; Figure_5/panels/Figure5D_branch_escape_risk.png	Figure_5/final/Figure5_multimodal_branch_context.png; Figure_5/final/Figure5_multimodal_branch_context.pdf	Final Figure 5	final	The source table previously listed Figure 4 panel inputs for this assembly; this manifest maps the assembly to the Figure 5 panel outputs implied by the script sequence.
40	Figure 6	23_build_gse235923_longitudinal_malignant_object.py	GSE235923	External cohort object construction	GSE235923/GSE235923_RAW/gse235923_manifest_all.csv	Figure_6/derived/gse235923_longitudinal_allcells_raw.h5ad; Figure_6/derived/gse235923_longitudinal_sample_qc.tsv; Figure_6/derived/gse235923_manifest_harmonized.tsv	External calibration preprocessing	final	19 DX, 10 EOI/REM, 2 REL; 74,486 DX cells, 35,752 EOI/REM cells, 14,741 REL cells.
41	Figure 6	23a_inspect_h5ads.py	GSE235923	Reference-label inspection	GSE235923/derived_secondary_calibration/gse235923_dx_secondary_calibration_labeled_by_gse235063.h5ad; GSE235923/derived_secondary_calibration/gse235923_dx_secondary_calibration_unlabeled.h5ad; GSE235923/derived_secondary_calibration/gse235923_dx_secondary_calibration_unlabeled_gexonly.h5ad; GSE235923/derived_secondary_calibration/gse235923_dx_secondary_calibration_unlabeled_gexonly_autoname.h5ad; Figure_6/derived/gse235923_longitudinal_allcells_raw.h5ad		Diagnostic support	diagnostic	Confirmed pred_malignant, pred_celltype, pred_broad, pred_malignant_coarse, sample_id, and barcode_raw fields in the labeled anchor object.
42	Figure 6	24_project_gse235923_into_frozen_scaffold.py	GSE235923	External frozen-space projection	Figure_6/derived/gse235923_longitudinal_allcells_raw.h5ad; GSE235923/derived_secondary_calibration/gse235923_dx_secondary_calibration_labeled_by_gse235063.h5ad; Figure_2/dx_primary_training_malignant_frozen_transfer.h5ad	Figure_6/inputs/gse235923_longitudinal_malignant_projected.h5ad; Figure_6/derived/gse235923_frozen_sample_scores.csv; Figure_6/derived/gse235923_label_transfer_qc.tsv; Figure_6/derived/gse235923_longitudinal_allcells_labeled.h5ad	Core external projection	final	Projected malignant cells: DX 59,880; EOI/REM 30,556; REL 13,596.
43	Figure 6	25_compute_gse235923_sample_centroids.py	GSE235923	External sample centroids	Figure_6/inputs/gse235923_longitudinal_malignant_projected.h5ad	Figure_6/derived/gse235923_sample_centroids.csv	Core Figure 6 derived data	final	31 sample centroids; two complete DX→EOI/REM→REL patients (Sample5 and Sample6).
44	Figure 6	26_compute_gse235923_sample_dynamic_parameters.py	GSE235923	External dynamic-summary calculation	Figure_6/inputs/gse235923_longitudinal_malignant_projected.h5ad; Figure_4/derived/dx_attractor_scaffold.tsv	Figure_6/derived/gse235923_sample_dynamic_parameters.csv	Core Figure 6/7 derived data	final	DX and EOI/REM well represented; REL sparse (n=2); EOI/REM does not collapse onto DX.
45	Figure 6A	27_plot_figure6A_external_projection.py	GSE235923	External projection plot	Figure_6/inputs/gse235923_longitudinal_malignant_projected.h5ad; Figure_6/derived/gse235923_sample_centroids.csv; Figure_6/derived/gse235923_sample_dynamic_parameters.csv	Figure_6/panels/Figure6A_external_projection.png; Figure_6/panels/Figure6A_external_projection.pdf; Figure_6/derived/sample_dynamic_parameters.csv	Figure 6A	final	
46	Figure 6B	28_plot_figure6B_external_timepoint_organization.py	GSE235923	External longitudinal organization plot	Figure_6/derived/gse235923_sample_centroids.csv; Figure_6/derived/gse235923_sample_dynamic_parameters.csv	Figure_6/panels/Figure6B_external_timepoint_organization.png; Figure_6/panels/Figure6B_external_timepoint_organization.pdf	Figure 6B	final	
47	Figure 6C	29_plot_figure6C_external_calibration_metric.py	GSE235923	External calibration comparison	Figure_6/derived/gse235923_sample_dynamic_parameters.csv	Figure_6/panels/Figure6C_external_calibration_metric.png; Figure_6/panels/Figure6C_external_calibration_metric.pdf; Figure_6/derived/figure6C_calibration_metric_stats.tsv	Figure 6C	final	DX n=19; EOI/REM n=10; REL n=2 displayed individually; two-sided Mann–Whitney U test for DX versus EOI/REM.
48	Figure 6D	30_plot_figure6D_calibration_summary.py	GSE235923	External calibration summary schematic	Figure_6/derived/gse235923_sample_centroids.csv; Figure_6/derived/gse235923_sample_dynamic_parameters.csv	Figure_6/panels/Figure6D_calibration_summary.png; Figure_6/panels/Figure6D_calibration_summary.pdf; Figure_6/derived/figure6_calibration_summary.tsv	Figure 6D	final	
49	Figure 6	31_assemble_figure6_composite.py	GSE235923	Composite assembly	Figure_6/panels/Figure6A_external_projection.png; Figure_6/panels/Figure6B_external_timepoint_organization.png; Figure_6/panels/Figure6C_external_calibration_metric.png; Figure_6/panels/Figure6D_calibration_summary.png	Figure_6/final/Figure6_external_longitudinal_calibration.png; Figure_6/final/Figure6_external_longitudinal_calibration.pdf	Final Figure 6	final	
50	Supplementary Figure S7	32_build_gse227122_longitudinal_allcells_raw.py	GSE227122	Cross-lineage cohort construction	GSE227122/transfer_validation_gse227122/results/gse227122_transfer/gse227122_sample_manifest.csv	Figure_7/derived/gse227122_longitudinal_allcells_raw.h5ad; Figure_7/derived/gse227122_longitudinal_sample_qc.tsv; Figure_7/derived/gse227122_manifest_harmonized.tsv	Supplementary cross-lineage transfer	supplementary	The source notes recommend dropping GSE227122 from the main Figure 7 and retaining it only as supplementary transfer analysis.
51	Supplementary Figure S7	33_project_gse227122_into_frozen_scaffold.py	GSE227122	Cross-lineage frozen-space projection	Figure_7/derived/gse227122_longitudinal_allcells_raw.h5ad; GSE227122/transfer_validation_gse227122/results/gse227122_transfer/gse227122_qc_annotated_for_transfer.h5ad; Figure_2/dx_primary_training_malignant_frozen_transfer.h5ad	Figure_7/inputs/gse227122_longitudinal_malignant_projected.h5ad; Figure_7/derived/gse227122_frozen_sample_scores.csv; Figure_7/derived/gse227122_label_transfer_qc.tsv; Figure_7/derived/gse227122_longitudinal_allcells_labeled.h5ad	Supplementary cross-lineage transfer	supplementary	
52	Supplementary Figure S7	34_compute_gse227122_sample_centroids.py	GSE227122	Cross-lineage sample centroids	Figure_7/inputs/gse227122_longitudinal_malignant_projected.h5ad	Figure_7/derived/gse227122_sample_centroids.csv	Supplementary cross-lineage transfer	supplementary	
53	Supplementary Figure S7	35_compute_gse227122_sample_dynamic_parameters.py	GSE227122	Cross-lineage dynamic summaries	Figure_7/inputs/gse227122_longitudinal_malignant_projected.h5ad; Figure_4/derived/dx_attractor_scaffold.tsv; Figure_7/derived/gse227122_sample_centroids.csv	Figure_7/derived/gse227122_sample_dynamic_parameters.csv	Supplementary cross-lineage transfer	supplementary	
54	Figure 7	36a_inspect_gse163634_files.py	GSE163634	Bulk-input inspection	GSE163634/derived_bulk_start/gse163634_sample_metadata.csv; GSE163634/derived_bulk_start/gse163634_serial_transitions.csv; GSE163634/derived_pc12_recovery/gse163634_bulk_score_matrix_with_pc12.csv; GSE163634/derived_pc12_recovery/gse163634_bulk_serial_deltas_with_pc12.csv; GSE163634/derived_bulk_validation_with_pc12/gse163634_bulk_paired_plot_table.csv; GSE163634/derived_bulk_validation_with_pc12/gse163634_bulk_heatmap_matrix.csv; GSE163634/derived_bulk_validation_with_pc12/gse163634_bulk_leukemia_vs_control_stats.csv		Diagnostic support for Figure 7 bulk validation	diagnostic	Confirmed availability of calibrated ILR axes, auxiliary programs, PC1/PC2, serial metadata, serial transitions, and leukemia-versus-control summaries.
55	Figure 7	36_prepare_gse163634_bulk_validation.py	GSE163634	Manuscript bulk-validation preparation	GSE163634/derived_bulk_start/gse163634_sample_metadata.csv; GSE163634/derived_pc12_recovery/gse163634_bulk_score_matrix_with_pc12.csv; GSE163634/derived_pc12_recovery/gse163634_bulk_serial_deltas_with_pc12.csv; GSE163634/derived_bulk_validation_with_pc12/gse163634_bulk_leukemia_vs_control_stats.csv; Figure_4/derived/dx_attractor_scaffold.tsv	Figure_7/derived/gse163634_bulk_state_variables.csv; Figure_7/derived/gse163634_bulk_validation_summary.csv; Figure_7/derived/gse163634_calibration_summary.tsv	Core Figure 7 bulk-validation input	final	
56	Legacy Figure 7A	37_plot_figure7A_cross_lineage_projection.py	GSE227122	Earlier main-figure cross-lineage projection	Figure_7/derived/gse227122_sample_centroids.csv	Figure_7/panels/Figure7A_cross_lineage_projection.png; Figure_7/panels/Figure7A_cross_lineage_projection.pdf	Superseded main Figure 7 design	superseded	
57	Legacy Figure 7B	38_plot_figure7B_cross_lineage_timepoint_organization.py	GSE227122	Earlier main-figure cross-lineage organization	Figure_7/derived/gse227122_sample_centroids.csv	Figure_7/panels/Figure7B_cross_lineage_timepoint_organization.png; Figure_7/panels/Figure7B_cross_lineage_timepoint_organization.pdf	Superseded main Figure 7 design	superseded	
58	Figure 7C	39_plot_figure7C_bulk_validation.py	GSE163634	Serial bulk-validation plot	Figure_7/derived/gse163634_bulk_validation_summary.csv; Figure_7/derived/gse163634_calibration_summary.tsv	Figure_7/panels/Figure7C_bulk_validation.png; Figure_7/panels/Figure7C_bulk_validation.pdf; Figure_7/derived/figure7C_bulk_validation_stats.tsv	Figure 7C	final	Control n=10; DX leukemia n=23; response r1 n=25; response r2 n=7. Two-sided Mann–Whitney U tests for prespecified adjacent-group comparisons.
59	Legacy Figure 7D	40_plot_figure7D_replication_summary.py	Multiple	Earlier replication summary	Figure_5/derived/branch_transition_table.csv; Figure_5/derived/branch_escape_risk_summary.csv; Figure_6/derived/gse235923_sample_dynamic_parameters.csv; Figure_6/derived/gse235923_sample_centroids.csv; Figure_7/derived/gse227122_sample_dynamic_parameters.csv; Figure_7/derived/gse227122_sample_centroids.csv; Figure_7/derived/gse163634_bulk_validation_summary.csv	Figure_7/panels/Figure7D_replication_summary.png; Figure_7/panels/Figure7D_replication_summary.pdf; Figure_7/derived/figure7_replication_summary.tsv	Superseded main Figure 7 design	superseded	
60	Legacy Figure 7	41_assemble_figure7_composite.py	Multiple	Earlier cross-lineage composite assembly	Figure_7/panels/Figure7A_cross_lineage_projection.png; Figure_7/panels/Figure7B_cross_lineage_timepoint_organization.png; Figure_7/panels/Figure7C_bulk_validation.png; Figure_7/panels/Figure7D_replication_summary.png	Figure_7/final/Figure7_frozen_structure_generalization.png; Figure_7/final/Figure7_frozen_structure_generalization.pdf	Superseded main Figure 7	superseded	
61	Figure 7A	42_build_figure7_clinical_risk_map.py	GSE235063/GSE235923	Clinical dynamic-map construction	Figure_4/derived/dx_attractor_scaffold.tsv; Figure_6/derived/gse235923_sample_dynamic_parameters.csv	Figure_7/derived/figure7_clinical_risk_map.csv; Figure_7/derived/figure7_clinical_risk_map_summary.tsv	Input for Figure 7A	final	
62	Figure 7A	43_plot_figure7A_clinical_risk_map.py	GSE235063/GSE235923	Clinical dynamic-map plotting	Figure_7/derived/figure7_clinical_risk_map.csv; Figure_7/derived/figure7_clinical_risk_map_summary.tsv	Figure_7/panels/Figure7A_clinical_risk_map.png; Figure_7/panels/Figure7A_clinical_risk_map.pdf	Figure 7A	final	
63	Figure 7B	44_build_figure7_clinical_scorecard.py	GSE235063/GSE235923	Clinical scorecard construction	Figure_7/derived/figure7_clinical_risk_map.csv; Figure_3/derived/relapse_jump_candidates.csv	Figure_7/derived/figure7_clinical_scorecard.csv; Figure_7/derived/figure7_clinical_scorecard_summary.tsv	Input for Figure 7B	final	
64	Figure 7B	45_plot_figure7B_clinical_scorecard.py	GSE235063/GSE235923	Clinical scorecard plotting	Figure_7/derived/figure7_clinical_scorecard.csv	Figure_7/panels/Figure7B_clinical_scorecard.png; Figure_7/panels/Figure7B_clinical_scorecard.pdf	Figure 7B	final	
65	Figure 7D	46_plot_figure7D_clinical_translation_summary.py	Multiple	Clinical translation summary	Figure_5/derived/branch_transition_table.csv; Figure_5/derived/branch_escape_risk_summary.csv; Figure_6/derived/gse235923_sample_dynamic_parameters.csv; Figure_6/derived/gse235923_sample_centroids.csv; Figure_7/derived/gse163634_bulk_validation_summary.csv; Figure_7/derived/figure7_clinical_risk_map.csv; Figure_7/derived/figure7_clinical_scorecard.csv	Figure_7/panels/Figure7D_clinical_translation_summary.png; Figure_7/panels/Figure7D_clinical_translation_summary.pdf; Figure_7/derived/figure7_clinical_translation_summary.tsv	Figure 7D	final	
66	Figure 7	47_assemble_figure7_redesigned_composite.py	Multiple	Final clinical-translation composite assembly	Figure_7/panels/Figure7A_clinical_risk_map.png; Figure_7/panels/Figure7B_clinical_scorecard.png; Figure_7/panels/Figure7C_bulk_validation.png; Figure_7/panels/Figure7D_clinical_translation_summary.png	Figure_7/final/Figure7_clinical_translation.png; Figure_7/final/Figure7_clinical_translation.pdf	Final Figure 7	final	
